,ensembl_gene_id,log2FoldChange,padj,-log10(padj),hgnc_symbol
18584,ENSG00000151067,-0.1791354891577703,0.4962861037121473,0.3042678851202776,CACNA1C
18585,ENSG00000183682,0.1068603510848169,0.7883702806089705,0.1032697557913832,BMP8A
18586,ENSG00000213315,-0.1858136932461668,0.5712795508409858,0.2431513213899429,
18587,ENSG00000149548,0.3807943789815949,0.029712821160256,1.5270561110315983,CCDC15
18588,ENSG00000178074,0.130221870950891,0.2976228607993678,0.526333713120433,C2orf69
18589,ENSG00000238260,0.159200727697539,0.6381765708154337,0.1950591439725761,
18590,ENSG00000253481,0.0182233360096177,0.9775359267413736,0.0098672722964861,IGKV1OR22-1
18591,ENSG00000288066,-0.1217024558783566,0.3621405715406836,0.4411228173282587,
18592,ENSG00000286480,0.7427593447980544,0.0369435286330984,1.4324616256068,
18593,ENSG00000166900,0.2097552713385465,0.0827227457699428,1.0823750587164769,STX3
18594,ENSG00000234420,0.129164865510247,0.573599811317457,0.2413910001990442,ZNF37BP
18595,ENSG00000224138,0.1599529561885254,0.4998707757180934,0.301142252956094,
18596,ENSG00000036530,0.1960392092785415,0.4967007076952034,0.3039052212250248,CYP46A1
18597,ENSG00000257221,0.1994609598165892,0.5496315365357478,0.2599283564606598,
18598,ENSG00000278535,0.2196409753529902,0.1835248375621664,0.7363051516503862,DHRS11
18599,ENSG00000135587,-0.160449128067761,0.2972715448574016,0.5268466599267456,SMPD2
18600,ENSG00000101331,-0.2919122279089257,0.1076858890710198,0.9678412019953576,CCM2L
18601,ENSG00000204574,0.0348268103672423,0.8339174397489659,0.0788769436503758,ABCF1
18602,ENSG00000117472,-1.1690276689343244,0.0002492962569266,3.603284242187431,TSPAN1
18603,ENSG00000185974,-0.3009899223582939,0.6260550532392009,0.2033874746702232,GRK1
18604,ENSG00000129250,-0.3090089701295771,0.0176867629095994,1.7523516458433723,KIF1C
18605,ENSG00000120820,0.1845122549576227,0.4948267667019211,0.3055468160830717,GLT8D2
18606,ENSG00000216285,0.2985494016836157,0.2669468510763442,0.5735751977438267,
18607,ENSG00000160789,-0.0400369730492364,0.8584931880700717,0.066263146508092,LMNA
18608,ENSG00000100439,-0.1348611087580252,0.5215350212919022,0.2827165232045703,ABHD4
18609,ENSG00000241429,-0.1196712064070109,0.7727657793241748,0.1119521181916048,EEF1A1P25
18610,ENSG00000196126,0.078162614859319,0.8214108977913585,0.0854395395889453,HLA-DRB1
18611,ENSG00000250015,-0.0858312607134647,0.8373732355597081,0.0770809243075632,
18612,ENSG00000137869,-0.0714950960780369,0.8666927829804604,0.0621348198256775,CYP19A1
18613,ENSG00000153802,1.28177194045695,0.0147093154431107,1.8324075384347709,TMPRSS11D
18614,ENSG00000170242,-0.1500393216564108,0.2662846539648514,0.5746538613133094,USP47
18615,ENSG00000196998,-0.0132755594070364,0.9429869183604382,0.0254943319957391,WDR45
18616,ENSG00000251152,0.1385793545445917,0.8191978028927269,0.0866112211544315,
18617,ENSG00000102763,-0.311554482699352,0.0027416709927072,2.5619846628305143,VWA8
18618,ENSG00000186329,-0.201191304614767,0.7965401664226542,0.0987923195290252,TMEM212
18619,ENSG00000244280,-0.1949954402283529,0.7211005319538702,0.1420041840611183,ECEL1P2
18620,ENSG00000266970,-0.0294040157527233,0.9403112537732184,0.0267283661648283,SOCS3-DT
18621,ENSG00000178951,-0.0623060465762557,0.7019588448426052,0.1536883493825876,ZBTB7A
18622,ENSG00000097046,0.5241312009122868,0.0012465709551487,2.9042829962997527,CDC7
18623,ENSG00000125611,-0.1066255834581877,0.6178020178522132,0.2091506775485689,CHCHD5
