LineageGroup	Sample2	loy	roy	n_total	loy_pct	roy_pct	lineageClass	eligible	pass_min_cells	used_for_enrichment
68	LL	0	5	5	0.0	1.0	ROY	True	True	True
68	LM0_Engraft	0	3	3	0.0	1.0	ROY	True	True	True
68	Liv	0	5	5	0.0	1.0	ROY	True	True	True
68	M	7	16	23	0.30434782608695654	0.6956521739130435	ROY	True	True	True
68	RL	4	13	17	0.23529411764705882	0.7647058823529411	ROY	True	True	True
70	LL	1	22	23	0.043478260869565216	0.9565217391304348	ROY	True	True	True
70	Liv	0	1	1	0.0	1.0	ROY	True	True	True
70	M	0	2	2	0.0	1.0	ROY	True	True	True
70	RL	0	19	19	0.0	1.0	ROY	True	True	True
71	LL	0	1	1	0.0	1.0	ROY	True	True	True
71	LM0_Engraft	0	39	39	0.0	1.0	ROY	True	True	True
71	Liv	0	1	1	0.0	1.0	ROY	True	True	True
71	M	3	28	31	0.0967741935483871	0.9032258064516129	ROY	True	True	True
71	RL	0	10	10	0.0	1.0	ROY	True	True	True
72	LL	0	1	1	0.0	1.0	ROY	True	True	True
72	LM0_Engraft	0	1	1	0.0	1.0	ROY	True	True	True
72	M	0	41	41	0.0	1.0	ROY	True	True	True
72	RL	0	4	4	0.0	1.0	ROY	True	True	True
74	LL	0	3	3	0.0	1.0	ROY	True	True	True
74	LM0_Engraft	0	4	4	0.0	1.0	ROY	True	True	True
74	Liv	0	2	2	0.0	1.0	ROY	True	True	True
74	M	3	20	23	0.13043478260869565	0.8695652173913043	ROY	True	True	True
74	RL	1	6	7	0.14285714285714285	0.8571428571428571	ROY	True	True	True
76	LL	0	2	2	0.0	1.0	ROY	True	True	True
76	M	7	23	30	0.23333333333333334	0.7666666666666667	ROY	True	True	True
76	RL	1	6	7	0.14285714285714285	0.8571428571428571	ROY	True	True	True
77	LL	1	0	1	1.0	0.0	LOY	True	True	True
77	Liv	5	0	5	1.0	0.0	LOY	True	True	True
77	M	27	2	29	0.9310344827586207	0.06896551724137931	LOY	True	True	True
77	RL	9	0	9	1.0	0.0	LOY	True	True	True
78	LL	15	4	19	0.7894736842105263	0.21052631578947367	LOY	True	True	True
78	LM0_Engraft	7	0	7	1.0	0.0	LOY	True	True	True
82	LL	0	2	2	0.0	1.0	ROY	True	True	True
82	M	2	31	33	0.06060606060606061	0.9393939393939394	ROY	True	True	True
82	RL	0	2	2	0.0	1.0	ROY	True	True	True
83	LL	7	0	7	1.0	0.0	LOY	True	True	True
83	Liv	2	0	2	1.0	0.0	LOY	True	True	True
83	M	24	1	25	0.96	0.04	LOY	True	True	True
83	RL	2	0	2	1.0	0.0	LOY	True	True	True
84	LL	0	1	1	0.0	1.0	ROY	True	True	True
84	Liv	1	10	11	0.09090909090909091	0.9090909090909091	ROY	True	True	True
84	M	1	18	19	0.05263157894736842	0.9473684210526315	ROY	True	True	True
84	RL	0	2	2	0.0	1.0	ROY	True	True	True
